ano,bimestre,receitas_correntes,receitas_correntes_exc_intra,transferencias_correntes,transferencias_correntes_exc_intra,despesas_correntes,despesas_correntes_exc_intra,despesas_correntes_liq,pessoal_encargos,pessoal_encargos_exc_intra,pessoal_encargos_liq,juros_encargos,juros_encargos_exc_intra,juros_encargos_liq,outras_despesas_correntes,outras_despesas_correntes_exc_intra,outras_despesas_correntes_liq,data_ref,rotulo_periodo,poupanca_bruta,poupanca_liquida_proxy,dc_rc,dc_rc_liquidada,receitas_correntes_12m,despesas_correntes_12m,dc_rc_12m,status_constitucional,part_pessoal_encargos,part_juros_encargos,part_outras_despesas_correntes,yoy_receitas_correntes,yoy_despesas_correntes,yoy_poupanca_bruta
2018,2,8114730467.18,7562042956.76,1628889004.71,1628889004.71,8977138332.300001,8373628225.31,7367938750.200001,5295513217.71,4799405444.18,5263360258.21,305641336.6,305641336.6,290614644.53,3375983777.9900002,3268581444.53,1813963847.46,2018-04-01,2018-B2,-862407865.1200008,-2491296869.830001,1.106276834284023,0.9079708537454946,24084085611.260002,22938190124.2,0.9524210507487874,CRITICO,0.5898887843419536,0.03404663326845413,0.37606458238959223,0.04553658626099488,-0.015064079925358964,-0.36265795953413804
2018,3,12027090361.88,11184437316.49,2390261917.86,2390261917.86,13368876623.12,12443655484.59,11451495457.89,7996193330.52,7248280171.33,7945535733.05,516641508.08,516641508.08,470805851.51,4856041784.52,4678733805.18,3035153873.33,2018-06-01,2018-B3,-1341786261.2400017,-3732048179.1000023,1.1115636634354065,0.952141799332085,24151368852.129997,23641028695.43,0.9788691001398462,CRITICO,0.5981200631840273,0.038645095070031936,0.3632348417459408,0.0362478683705425,0.044171129723052927,0.12099975879168445
2018,4,16230098386.220001,15123344752.52,3127721130.16,3127721130.16,16772905728.529999,15595611320.72,15439752940.720001,10661114745.7,9665382381.52,10629553084.369999,658150399.75,658150399.75,648233518.52,5453640583.08,5272078539.45,4161966337.83,2018-08-01,2018-B4,-542807342.3099976,-3670528472.4699974,1.0334444887143053,0.9513037181480652,24507929874.690002,23808793117.219994,0.9714730390920522,CRITICO,0.6356152546404585,0.0392389017384456,0.325145843621096,0.05029937273417562,0.04571823497591976,-0.07492737260587767
2018,5,20580319262.58,19204330711.74,3886015332.84,3886015332.84,20979547672.230003,19513680049.81,19511286354.579998,13400894028.939999,12140701728.89,13373536791.949999,799728056.33,799728056.33,797017365.18,6778925586.96,6573250264.59,5340732197.45,2018-10-01,2018-B5,-399228409.6500015,-4285243742.4900017,1.0193985527899898,0.9480555722017509,24922550411.770004,24593745985.24,0.9868069510905786,CRITICO,0.6387599121919277,0.03811941367013246,0.3231206741379396,0.06147419695257739,0.07801410044904955,4.479284427208705
2018,6,25459492593.71,23708763964.03,4782529969.04,4782529969.04,24602224909.699997,22832992786.92,24224708348.48,16333072387.43,14785278508.67,16323975860.26,982947012.87,982947012.87,982947012.87,7286205509.400001,7064767265.38,6917785475.349999,2018-12-01,2018-B6,857267684.0100021,-3925262285.029999,0.9663281708834293,0.9515000449955918,25459492593.71,24602224909.699997,0.9663281708834293,CRITICO,0.6638859878478026,0.039953582103968585,0.2961604300482289,0.07285217734648164,0.06616258627746419,0.3084631817690533
2019,1,4574401395.900001,4301472533.97,868228922.07,868228922.07,4890360405.83,4563945918.83,3550118947.36,2698917741.6,2440004246.54,2672915987.68,183029182.1,183029182.1,182656934.6,2008413482.13,1940912490.19,694546025.0799999,2019-02-01,2019-B1,-315959009.92999935,-1184187931.9999995,1.0690711161056374,0.7760838282670042,25937340241.08,24636378182.839996,0.9498421177288056,ALERTA,0.5518852431371948,0.03742652216016704,0.4106882347026382,0.1166462535836299,0.0070329111190694515,-0.5840747681531409
2019,2,9013901893.21,8441470271.91,1656954406.15,1656954406.15,8718294998.98,8086146521.35,7661061103.799999,5515427943.21,4998758676.58,5501431437.55,334363858.31,334363858.31,333982620.67,2868503197.46,2753023986.46,1825647045.5800002,2019-04-01,2019-B2,295606894.22999954,-1361347511.92,0.9672054457956022,0.8499161844185292,26358664019.739998,24343381576.379997,0.9235438320451008,ALERTA,0.632626900541365,0.03835197803574197,0.3290211214228931,0.11080730649855774,-0.028833613089003673,-1.3427692466474281
2019,3,13568507955.38,12697195139.3,2485950119.04,2485950119.04,13151268261.67,12188624071.11,11807466156.73,8290945858.62,7514778228.15,8268777603.48,511881402.88,511881402.88,511221553.37,4348441000.17,4161964440.08,3027466999.88,2019-06-01,2019-B3,417239693.7099991,-2068710425.33,0.9692494049395785,0.87021109436342,27000910187.21,24384616548.249992,0.9031035020367827,ALERTA,0.6304293771258821,0.03892258850592401,0.3306480343681939,0.12816213623750095,-0.016277236119725313,-1.3109583886515652
2019,4,18091756284.37,16923956988.71,3250022123.16,3250022123.16,17107735962.710001,15835753560.62,16032591939.07,11101499835.95,10069295492.78,11082904899.0,703679705.58,703679705.58,693284836.57,5302556421.18,5062778362.26,4256402203.5,2019-08-01,2019-B4,984020321.6599979,-2266001801.500002,0.9456094639905069,0.8861821752994223,27321150491.86,24937055143.879997,0.9127381056412571,ALERTA,0.6489169496272396,0.04113225193057817,0.30995079844218226,0.11470404268963752,0.019962565795053067,-2.8128353191988023
2019,5,22726315018.63,21262448648.13,4078921618.06,4078921618.06,21583039584.96,19986234040.76,20306704443.82,13955098751.65,12665390864.17,13934573693.21,847969699.89,847969699.89,847116167.11,6779971133.42,6472873476.7,5525014583.5,2019-10-01,2019-B5,1143275433.670002,-2935646184.3899994,0.9496937610548478,0.8935326482614311,27605488349.759995,25205716822.429993,0.9130690427597211,ALERTA,0.6465770818200473,0.039288706141321364,0.31413421203863146,0.10427417226475866,0.02876572565617419,-3.8637126167255906
2019,6,27975072499.95,26080354019.63,5109458510.72,5109458510.72,25798861546.03,23869627514.36,25236409206.39,17184874216.49,15613009360.12,17179902511.05,1019441695.03,1019441695.03,1016833753.86,7594545634.51,7237176459.21,7039672941.4800005,2019-12-01,2019-B6,2176210953.920002,-2933247556.799999,0.922208925323647,0.9021034424999294,27975072499.950005,25798861546.03,0.9222089253236468,ALERTA,0.6661097888303702,0.03951498763661044,0.2943752235330194,0.09880715010249252,0.04863936659071033,1.5385430881290647
2020,1,4839283517.940001,4587009436.27,910928284.63,910928284.63,5429502778.599999,5150306933.24,3572115785.95,2754130246.8300004,2540982181.78,2719423228.95,180364647.27,180364647.27,179824241.83,2495007884.5,2428960104.19,672868315.17,2020-02-01,2020-B1,-590219260.6599989,-1501147545.289999,1.121964183018408,0.7381497225173093,28239954621.989998,26338003918.799995,0.9326503626280978,ALERTA,0.5072527557560537,0.03321936733891996,0.4595278769050265,0.057905308064441385,0.11024593854621956,0.8680247820461326
2020,2,9114047567.019999,8600258386.31,1792026948.5,1782026948.5,9492984879.31,8943465478.55,7904551224.26,5595342917.31,5172922473.0,5561485907.75,293279738.13,293279738.13,259040954.08,3604362223.87,3477263267.42,2084024362.4299998,2020-04-01,2020-B2,-378937312.2900009,-2170964260.790001,1.041577280511594,0.8672931720110097,28075218173.760002,26573551426.359997,0.9465127309748385,ALERTA,0.5894187116535995,0.030894364823987493,0.3796869235224131,0.011110135765448836,0.08885795679323016,-2.2818960575228173
2020,3,13458526812.769999,12694087951.97,2988989895.46,2978989895.46,13131346525.73,12318762720.48,11766832763.93,8333274603.66,7701111010.16,8300098160.25,317658542.22,317658542.22,317495490.57,4480413379.85,4299993168.1,3149239113.1099997,2020-06-01,2020-B3,327180287.039999,-2661809608.420002,0.9756897399253567,0.8743031780242954,27865091357.340004,25778939810.089996,0.9251338701711993,ALERTA,0.63460929824154,0.024190858233583985,0.34119984352487603,-0.008105618021647887,-0.0015148148105277315,-0.2158457309495475
2020,4,18816265045.120003,17793512454.79,4592836701.59,4582836701.59,17234514137.42,16159249595.66,16127640027.35,11307326833.67,10468753921.37,11282192488.94,324679585.62,324679585.62,324516533.97,5602507718.13,5365816088.67,4520931004.440001,2020-08-01,2020-B4,1581750907.7000046,-3011085793.8899956,0.915937041495372,0.8571116525345025,28699581260.70001,25925639720.739998,0.9033455744610975,ALERTA,0.656086196774138,0.018838917246587632,0.3250748859792745,0.04004634759401049,0.007410575834601252,0.6074372377103576
2020,5,24140459836.69,22862714490.39,5923523971.19,5913523971.19,21709838231.649998,20359488267.96,20370852814.14,14263032912.87,13209469764.36,14233069075.119999,340316685.9,340316685.9,340153694.22,7106488632.88,6809701817.7,5797630044.8,2020-10-01,2020-B5,2430621605.040001,-3492902366.1499977,0.8993133676208682,0.8438469255328458,29389217318.01,25925660192.719994,0.8821487116239907,ALERTA,0.656984762423353,0.015675689623696247,0.32733954795295084,0.06222499410488447,0.005874920730736921,1.1260157731523357
2020,6,29580086101.579998,27933189315.48,6988931266.07,6977931266.07,25758501868.94,24119603816.3,25196765078.559998,17573161461.73,16279083074.87,17570079187.64,375986917.13,375986917.13,375986917.13,7809353490.08,7464533824.3,7250698973.79,2020-12-01,2020-B6,3821584232.6399994,-3167347033.4300003,0.870805506802231,0.8518151364412063,29580086101.579998,25758501868.940002,0.8708055068022311,ALERTA,0.6822276214332166,0.014596614315655168,0.30317576425112824,0.05737299167438681,-0.001564397600180567,0.7560725102298522
2021,1,5395814208.139999,5134889787.95,1237373652.01,1237373652.01,5576711093.879999,5295346870.9,3850849736.96,2997452041.33,2778773801.45,2964649974.65,147525056.44,147525056.44,147480737.32,2431733996.11,2369048013.01,738719024.99,2021-02-01,2021-B1,-180896885.73999977,-1418270537.75,1.0335254103944318,0.7136735232934258,30136616791.78,25905710184.22,0.859609104870922,ALERTA,0.5374945897088819,0.026453774268833313,0.43605163602228497,0.11500270404427648,0.02711266966474546,-0.693509009621753
2021,2,10700489204.220001,10177365812.19,2303916361.1,2303915340.67,10109426401.04,9554733811.45,8525112427.789999,6067301400.780001,5633565511.43,6049058788.8,256914903.38,256914903.38,256900163.38,3785210096.8799996,3664253396.64,2219153475.61,2021-04-01,2021-B2,591062803.1800003,-1712853557.92,0.9447630111203794,0.7967030539527026,31166527738.780006,26374943390.67,0.8462586404147961,CONFORTAVEL,0.6001627748292258,0.02541340064096713,0.374423824529807,0.17406554283748576,0.06493653256243337,-2.559790456126051
2021,3,16199842816.25,15405468294.27,3445845258.36,3445345258.36,15154513634.859999,14312568251.3,13248246602.15,9128580661.560001,8471133617.27,9092080800.5,401630858.45,401630858.45,401557158.45,5624302114.85,5439803775.58,3754608643.2000003,2021-06-01,2021-B3,1045329181.3900013,-2400516076.9699993,0.9354728812342897,0.817800935010353,32321402105.060005,27781668978.069996,0.8595440534345105,ALERTA,0.602367115270627,0.02650239183698556,0.37113049289238764,0.20368618658016335,0.15407156495076402,2.1949638251347516
2021,4,22224722083.94,21172199856.84,4602897329.7,4602397329.7,19510014485.579998,18400314907.51,18078307681.44,12270572979.49,11397794806.74,12251033737.25,542106307.46,542106307.46,542062087.46,6697335198.63,6460413793.31,5285211856.73,2021-08-01,2021-B4,2714707598.3600006,-1888189731.3400002,0.8778518989750743,0.8134323395883417,32988543140.399994,28034002217.1,0.8498102537534514,CONFORTAVEL,0.6289371537145334,0.027786053560374082,0.34327679272509265,0.18114418725750148,0.1320315925367097,0.7162674509271552
2021,5,28274641627.73,26947370700.48,5861981201.38,5861481201.38,24748168604.44,23348606394.5,23148692502.58,15735079439.36,14625471053.23,15699025781.91,654010419.38,654010419.38,653906161.88,8359078745.700001,8069124921.89,6795760558.79,2021-10-01,2021-B5,3526473023.290001,-2335508178.09,0.8752778878784636,0.8187086084895666,33714267892.62,28796832241.73,0.854143780711714,ALERTA,0.6358078325253131,0.026426618867574136,0.3377655486071128,0.17125530412459855,0.1399517739547469,0.4508523317564954
2021,6,33990324805.370003,32276550347.72,7076743272.9,7076743272.9,29584378833.06,27875892581.22,28735809045.3,19341487127.15,17975451951.95,19334232788.74,831541723.78,831541723.78,831541723.78,9411349982.13,9068898905.49,8570034532.78,2021-12-01,2021-B6,4405945972.310001,-2670797300.59,0.870376467493658,0.8454114283944747,33990324805.37,29584378833.06,0.870376467493658,ALERTA,0.6537736430530102,0.028107459293712375,0.31811889765327733,0.14909485687921764,0.14852870650576566,0.15291086211812144
2022,1,7254977851.94,6970501688.49,1486307099.39,1486307099.39,6722430360.83,6408715881.21,4372595192.01,3459343450.2400002,3207053669.8,3400033934.85,151481619.37,151481619.37,151393851.87,3111605291.22,3050180592.04,821167405.29,2022-02-01,2022-B1,532547491.10999966,-953759608.2800007,0.9265955731391248,0.6027027623303849,35849488449.170006,30730098100.010002,0.8571976736455069,ALERTA,0.5145971418903452,0.022533758066524173,0.4628691000431306,0.3445566455930431,0.2054471260322841,-3.9439284647244937
2022,2,14231896464.59,13635659391.74,2907737197.3,2907737197.3,11804069239.0,11183515191.06,9861850887.49,7177258043.28,6675577267.95,7134484222.41,268044752.98,268044752.98,268000869.23,4358766442.74,4239893170.13,2459365795.8500004,2022-04-01,2022-B2,2427827225.59,-479909971.7099991,0.8294094373416353,0.6929400387381265,37521732065.740005,31279021671.019997,0.8336241412368048,CONFORTAVEL,0.6080325265770834,0.022707826221011546,0.3692596472019051,0.3300229730597084,0.16762996937053365,3.107562195638012
2022,3,21391401291.11,20498661137.95,4421081046.66,4421081046.66,18514102531.780003,17576919490.99,15665013344.77,10917224644.43,10157957143.09,10857404582.349998,496147817.71,496147817.71,495802736.92,7100730069.639999,6922814530.19,4311806025.5,2022-06-01,2022-B3,2877298759.329998,-1543782287.3300018,0.8654927407431804,0.7323042156794181,39181883280.23,32943967729.980003,0.8407959233190442,CONFORTAVEL,0.5896707456216288,0.02679837258426908,0.38353088179410194,0.32046968194360304,0.22168899496661676,1.7525288785145934
2022,4,28109921848.05,26897060682.43,5718986188.74,5718986188.74,24139450576.27,22862648419.45,21788361403.75,14932311823.48,13894113906.08,14881358409.55,645732777.56,645732777.56,645505918.69,8561405975.2300005,8322801735.81,6261497075.51,2022-08-01,2022-B4,3970471271.779999,-1748514916.960003,0.8587519633372644,0.775112841705089,39875524569.479996,34213814923.750004,0.8580154190607598,ALERTA,0.6185854055087331,0.02675010251454438,0.3546644919767225,0.26480420056018406,0.23728511806650143,0.46257787548781515
2022,5,34851765915.68,33310554592.84,7052874785.05,7052874785.05,30204989956.87,28569104997.39,27971710638.57,19083259539.030003,17758570835.15,19045894152.120003,775304878.55,775304878.55,775153031.78,10346425539.29,10035229283.69,8150663454.67,2022-10-01,2022-B5,4646775958.810001,-2406098826.239998,0.8666702866634545,0.8025909133627394,40567449093.32001,35041200185.490005,0.8637762779927917,ALERTA,0.6317916200693718,0.0256681058214906,0.34254027410913773,0.23261565520602634,0.22049394602277794,0.31768368228571364
2022,6,42270298935.82,40255695362.52,8485802650.53,8485802650.53,36197842876.64,34191380605.75,35076089464.78,23721651236.489998,22090924858.48,23654055606.480003,1018816220.13,1018816220.13,1018760486.97,11457375420.019999,11081639527.14,10403273371.33,2022-12-01,2022-B6,6072456059.18,-2413346591.3499985,0.8563422494740348,0.829804622816528,42270298935.82,36197842876.64,0.8563422494740348,ALERTA,0.6553332837354953,0.028145771658329544,0.3165209446061751,0.24359797024186935,0.22354581385327488,0.37824115351016463
2023,1,6896167899.69,6575245840.73,1387170766.0,1387170766.0,8932870994.85,8574790846.94,4962054402.96,4043601067.21,3752968249.05,3943441107.5499997,178384593.14,178384593.14,177771528.38,4710885334.5,4643438004.75,840841767.03,2023-02-01,2023-B1,-2036703095.1600008,-3423873861.160001,1.2953383857216638,0.7195379339854903,41911488983.57,38408283510.659996,0.9164141967305596,ALERTA,0.4526653378898258,0.019969458110706256,0.5273652039994678,-0.0494570706586035,0.32881569839677494,-4.824453460319302
2023,2,14049574572.49,13406080602.01,2749667291.52,2749667291.52,15542795452.25,14845385457.67,11298093551.74,8293338696.849999,7724927723.7,8199556142.79,326669499.15,326669499.15,326167900.71,6922787256.25,6793788234.82,2772369508.24,2023-04-01,2023-B2,-1493220879.7600002,-4242888171.2800007,1.1062822843535651,0.8041591219325899,42087977043.72,39936569089.89,0.9488830752878626,ALERTA,0.5335808942688905,0.021017422519236124,0.44540168321187334,-0.012810793877936821,0.31673197924809293,-1.6150441283551897
2023,3,21558468350.09,20588115799.97,4298217595.18,4298217595.18,21302829567.02,20259759154.61,17947372852.59,12527067623.24,11676460521.81,12455437770.29,560558411.56,560558411.56,560168279.44,8215203532.219999,8022740221.24,4931766802.860001,2023-06-01,2023-B3,255638783.0699997,-4042578812.1100006,0.9881420711843413,0.8324975856884135,42437365994.8,38986569911.880005,0.9186849607173349,ALERTA,0.5880471222768356,0.026313800699407044,0.38563907702375727,0.0078100100459257416,0.1506271789546949,-0.9111532015085124
2023,4,28999817782.21,27696890132.12,5809736411.77,5809736411.77,27538884349.04,26146940210.54,24397247550.48,16828287698.98,15695814286.67,16778757225.6,744864183.81,744864183.81,744612887.33,9965732466.25,9706261740.06,6873877437.549999,2023-08-01,2023-B4,1460933433.1699982,-4348802978.600002,0.949622668523586,0.8412896844285188,43160194869.979996,39597276649.41,0.9174489774361938,ALERTA,0.6110736907745005,0.027047725476793533,0.36187858374870596,0.03165771640954351,0.14082481960512272,-0.632050370555874
2023,5,36613882217.14,34984428476.1,7423568352.21,7423568352.21,33230515408.940002,31484130350.77,31021776441.7,21120310423.26,19695606161.76,21074797608.7,899546478.33,899546478.33,899395699.49,11210658507.35,10888977710.68,9047583133.51,2023-10-01,2023-B5,3383366808.199997,-4040201544.010002,0.9075933333664316,0.8472681552238628,44032415237.27999,39223368328.71001,0.8907839399075613,ALERTA,0.6355697515777322,0.027069892454571896,0.3373603559676958,0.05056031610344358,0.10016641145685479,-0.27188940500018266
